Street;City;propertycard__detailvalue;quartos;banheiros;vagas;price
Jardim das Bandeiras, São Paulo ; SP;420;4;4;6;R$ 3.800.000
Rua Mauricina, , 191 ; Vila Romana, São Paulo ;170;2;2;4;R$ 1.250.000
Rua Nova York ; Brooklin Paulista, São Paulo ;380;5;3;6;R$ 2.500.000
Rua José Aldo Piassi ; São Miguel Paulista, São Paulo ;200;3;1;5;R$ 650.000
Alto de Pinheiros, São Paulo ; SP;520;3;8;10;R$ 3.723.000
Vila Madalena, São Paulo ; SP;600;4;6;6;R$ 7.000.000
Pacaembu, São Paulo ; SP;388;4;4;3;R$ 8.000.000
Pacaembu, São Paulo ; SP;450;4;5;3;R$ 4.300.000
Rua Nova York ; Brooklin Paulista, São Paulo ;380;5;3;6;R$ 2.500.000
Rua José Aldo Piassi ; São Miguel Paulista, São Paulo ;200;3;1;5;R$ 650.000
Alto de Pinheiros, São Paulo ; SP;520;3;8;10;R$ 3.723.000
Vila Madalena, São Paulo ; SP;600;4;6;6;R$ 7.000.000
Pacaembu, São Paulo ; SP;388;4;4;3;R$ 8.000.000
Pacaembu, São Paulo ; SP;450;4;5;3;R$ 4.300.000
Rua Sampaio Vidal ; Jardim Paulistano, São Paulo ;380;4;4;4;R$ 5.100.000
Itaberaba, São Paulo ; SP;220;3;3;4;R$ 1.290.000
Granja Julieta, São Paulo ; SP;483;4;4;3;R$ 3.900.000
Cidade Jardim, São Paulo ; SP;350;3;4;4;R$ 3.800.000
Rua Tomé Portes ; Brooklin Paulista, São Paulo ;480;4;6;3;"R$ 9.000
                      /Mês"
Rua Camundo ; Planalto Paulista, São Paulo ;155;3;4;3;R$ 790.000
Rua Wilson Dupont ; Santana, São Paulo ;170;3;3;1;R$ 905.000
Rua Tapinas ; Itaim Bibi, São Paulo ;156;4;3;2;R$ 1.820.000
Jardim Luzitânia, São Paulo ; SP;385;3;5;4;R$ 9.800.000
Chácara Santo Antônio (Zona Sul), São Paulo ; SP;283;3;5;3;R$ 3.000.000
Jardim Guedala, São Paulo ; SP;505;4;7;4;"R$ 18.000
                      /Mês"
Rua Arapuã ; Vila Guarani (Z Sul), São Paulo ;138;3;3;2;R$ 550.000
Rua Bolívia ; Jardim América, São Paulo ;420;4;5;6;R$ 8.900.000
Pacaembu, São Paulo ; SP;456;4;5;11;R$ 3.200.000
Vila Salete, São Paulo ; SP;174;3;2;2;R$ 640.000
Cidade Jardim, São Paulo ; SP;1100;4;4;14;R$ 12.800.000
Rua Simpatia, 401 ; Jardim das Bandeiras, São Paulo ;476;4;3;4;R$ 3.640.000
Jardim Guedala, São Paulo ; SP;960;4;6;6;R$ 4.800.000
Rua Inácio Pedroso ; Jardim Guedala, São Paulo ;678;4;6;6;R$ 7.300.000
Rua Doutor Manoel Maria Tourinho ; Pacaembu, São Paulo ;495;5;5;4;R$ 4.000.000
Rua Apinajés, 282 ; Perdizes, São Paulo ;200;3;4;3;R$ 2.660.000
Indianópolis, São Paulo ; SP;280;4;2;2;R$ 2.450.000
Rua Vieira de Almeida ; Ipiranga, São Paulo ;130;3;2;5;R$ 1.200.000
Rua Irmão Gonçalo ; Jardim das Bandeiras, São Paulo ;815;6;5;8;R$ 8.000.000
Alto de Pinheiros, São Paulo ; SP;320;3;3;3;R$ 3.750.000
Alto de Pinheiros, São Paulo ; SP;420;5;4;4;R$ 4.650.000
Vila Cruzeiro, São Paulo ; SP;200;3;3;2;R$ 1.160.000
Rua Afonso José de Carvalho, 125 ; Vila Madalena, São Paulo ;180;3;2;4;R$ 1.600.000
Rua Muribeca ; Cidade Jardim, São Paulo ;420;4;5;3;R$ 3.000.000
Chora Menino, São Paulo ; SP;256;3;4;4;R$ 822.000
Vila Campo Grande, São Paulo ; SP;229;2;3;1;R$ 420.000
Jardim Ana Maria, São Paulo ; SP;491;4;5;8;R$ 4.600.000
Rua Thereza Masironi Gonfiantini, 244 ; Vila Nova Alba, São Paulo ;147;3;3;2;R$ 500.000
Vila Nova Caledonia, São Paulo ; SP;300;4;4;4;R$ 1.600.000
Rua Maracaibo ; Jardim Everest, São Paulo ;600;3;7;6;R$ 4.950.000
Rua Barão do Bananal ; Vila Pompéia, São Paulo ;106;3;2;2;R$ 920.000
Rua Artur de Souza Marques ; Vila Tramontano, São Paulo ;1000;4;5;6;"R$ 25.000
                      /Mês"
Travessa Doutor Ezequiel Antunes de Oliveira ; Vila Nova Conceição, São Paulo ;170;3;4;3;R$ 2.690.000
Vila Madalena, São Paulo ; SP;330;3;3;2;R$ 5.800.000
Jardim Paulistano, São Paulo ; SP;748;5;6;6;"R$ 43.000
                      /Mês"
Pacaembu, São Paulo ; SP;1171;5;7;10;R$ 16.000.000
Campo Belo, São Paulo ; SP;380;3;4;5;R$ 2.800.000
Rua Abegoaria ; Pinheiros, São Paulo ;686;4;6;6;R$ 5.800.000
Rua Pedro Osório Filho ; Vila Nova Cachoeirinha, São Paulo ;180;3;3;2;R$ 650.000
Jardim Trussardi, São Paulo ; SP;240;3;4;4;R$ 3.000.000
Alameda dos Guatás ; Saúde, São Paulo ;90;2;4;2;R$ 750.000
Pacaembu, São Paulo ; SP;520;6;6;5;R$ 2.500.000
Alameda dos Anapurus ; Indianópolis, São Paulo ;218;3;3;3;R$ 1.690.000
Rua Portugal ; Jardim Europa, São Paulo ;319;3;3;4;R$ 5.000.000
Vila Tramontano, São Paulo ; SP;414;4;5;5;R$ 1.780.000
Pacaembu, São Paulo ; SP;709;4;5;10;R$ 9.600.000
Jardim Paulista, São Paulo ; SP;301;4;3;4;R$ 6.950.000
Rua Antônio de Gouveia Giudice ; Alto de Pinheiros, São Paulo ;331;3;5;3;R$ 3.500.000
Rua Comandante Garcia D'Ávila, 64 ; Morumbi, São Paulo ;393;6;6;4;R$ 1.390.000
Vila Cordeiro, São Paulo ; SP;1126;4;6;24;R$ 6.400.000
Rua Dom Henrique, 450 ; Jardim Luzitânia, São Paulo ;395;4;7;3;R$ 6.600.000
Jardim Guedala, São Paulo ; SP;862;4;9;8;R$ 8.250.000
Rua Luiz Amorim Costa, 0 ; Vila Carolina, São Paulo ;160;3;2;3;R$ 400.000
Campo Belo, São Paulo ; SP;428;5;7;3;R$ 2.800.000
Cidade Jardim, São Paulo ; SP;550;4;1;6;R$ 4.800.000
Avenida Celso dos Santos ; Vila Constança, São Paulo ;100;2;2;2;R$ 480.000
Vila Carbone, São Paulo ; SP;92;2;1;2;R$ 340.000
Alto de Pinheiros, São Paulo ; SP;316;3;3;6;R$ 6.000.000
Brooklin Paulista, São Paulo ; SP;350;4;4;4;R$ 2.000.000
Penha de França, São Paulo ; SP;180;3;1;3;R$ 750.000
Rua Turquia ; Pinheiros, São Paulo ;1100;4;6;8;R$ 19.000.000
Jardim América, São Paulo ; SP;1000;5;8;8;R$ 30.000.000
Rua Gama Cerqueira ; Cambuci, São Paulo ;281;3;5;3;R$ 1.490.000
Jardim Paulista, São Paulo ; SP;1150;5;7;7;R$ 27.000.000
Rua Almeida Ferraz ; Parque Jabaquara, São Paulo ;126;4;3;3;R$ 695.000
Rua Pirapó, 222 ; Jardim Guedala, São Paulo ;650;3;3;3;R$ 5.500.000
Rua Jupuruchita, 168 ; Alto da Mooca, São Paulo ;190;3;1;3;R$ 1.049.400
Rua Senador Vergueiro ; Santo Amaro, São Paulo ;350;3;4;6;R$ 2.950.000
Rua Líbero Ripole ; Jardim Umuarama, São Paulo ;250;3;1;1;R$ 950.000
Rua Orobó ; Alto de Pinheiros, São Paulo ;295;4;4;4;R$ 4.000.000
Vila Adalgisa, São Paulo ; SP;250;3;5;3;R$ 750.000
Santo Amaro, São Paulo ; SP;270;3;4;3;R$ 2.080.000
Mirandópolis, São Paulo ; SP;378;4;4;7;R$ 2.000.000
Rua Canumá ; Jardim dos Estados, São Paulo ;900;5;10;9;"R$ 12.000
                      /Mês"
Boaçava, São Paulo ; SP;422;5;8;6;R$ 4.500.000
Rua Engenheiro Pedro Garcin, 190 ; Vila Antônio, São Paulo ;110;2;1;2;R$ 480.000
Rua Mário Guastini ; Pinheiros, São Paulo ;700;5;7;5;R$ 9.500.000
Rua Domingos Lopes ; Campo Belo, São Paulo ;145;3;3;2;R$ 900.000
Rua Ática ; Jardim Brasil (Zona Sul), São Paulo ;174;3;4;1;R$ 599.000
Rua Ajurapéia, 65 ; Vila Madalena, São Paulo ;210;3;1;2;R$ 1.050.000
Jardim Leonor, São Paulo ; SP;491;4;8;4;R$ 3.100.000
Avenida Iraí ; Indianópolis, São Paulo ;420;4;7;4;R$ 1.800.000
Rua Nova Orleans ; Brooklin Paulista, São Paulo ;150;2;3;4;R$ 1.590.000
Rua Maria Teresa Assunção ; Vila São Geraldo, São Paulo ;160;3;3;2;R$ 636.000
Rua Vicente Romano ; Parque da Mooca, São Paulo ;341;4;3;4;R$ 2.300.000
Rua Manuel Galvão ; Mooca, São Paulo ;106;3;3;2;R$ 450.000
Jardim América, São Paulo ; SP;815;4;6;4;R$ 25.500.000
Jardim Guedala, São Paulo ; SP;560;4;6;3;R$ 6.800.000
Rua Stefan Marek Neuding, 37738888 ; Jardim Sílvia (Zona Oeste), São Paulo ;1643;4;8;10;R$ 4.495.000
Rua Alemanha ; Jardim Europa, São Paulo ;600;4;4;7;R$ 13.500.000
Rua Kalil Filho, 157 ; Indianópolis, São Paulo ;225;3;2;2;R$ 1.850.000
Rua Pau;Brasil ;296;3;2;5;R$ 2.750.000
Consolação, São Paulo ; SP;340;9;5;5;"R$ 21.000
                      /Mês"
Vila Cordeiro, São Paulo ; SP;200;4;6;4;R$ 3.600.000
Jardim Monte Kemel, São Paulo ; SP;158;2;1;1;R$ 480.000
Rua David Pimentel ; Fazenda Morumbi, São Paulo ;900;4;8;9;"R$ 35.000
                      /Mês"
Avenida Doutor Cardoso de Melo ; Vila Olímpia, São Paulo ;200;2;3;2;R$ 2.900.000
Pacaembu, São Paulo ; SP;240;5;7;6;R$ 2.980.000
Rua Raqueta Provensano ; Chácara Califórnia, São Paulo ;140;2;1;2;R$ 1.400.000
Jardim Paulistano, São Paulo ; SP;300;4;2;4;"R$ 8.500
                      /Mês"
Jardim Bonfiglioli, São Paulo ; SP;115;3;1;1;R$ 500.000
Jardim Paulista, São Paulo ; SP;300;4;5;4;R$ 5.500.000
Rua Professor Murtinho ; Vila Mariana, São Paulo ;290;4;5;2;R$ 2.900.000
Rua Alexandre Marcondes Machado ; Butantã, São Paulo ;371;3;4;3;R$ 2.800.000
Rua Marquês de Cascais ; Brooklin Paulista, São Paulo ;146;3;4;3;R$ 1.500.000
Jardim Guedala, São Paulo ; SP;650;3;4;3;R$ 6.500.000
Fazenda Morumbi, São Paulo ; SP;961;4;12;9;R$ 6.500.000
Vila Ida, São Paulo ; SP;440;4;6;6;R$ 5.750.000
Alto de Pinheiros, São Paulo ; SP;722;4;11;10;R$ 6.200.000
Rua Topázio ; Vila Mariana, São Paulo ;300;4;5;4;R$ 1.900.000
Itaim Bibi, São Paulo ; SP;170;2;3;3;R$ 3.300.000
Rua Maracaí ; Aclimação, São Paulo ;420;3;6;4;"R$ 11.005
                      /Mês"
Rua Doutor Augusto de Miranda ; Vila Pompéia, São Paulo ;110;3;3;1;R$ 970.000
Pacaembu, São Paulo ; SP;380;3;1;2;R$ 1.900.000
Jardim Panorama, São Paulo ; SP;374;5;4;6;R$ 3.200.000
Rua Dom Lucas Obes ; Ipiranga, São Paulo ;140;3;2;2;R$ 750.000
Rua Dezenove de Maio, 401 ; Vila Esperança, São Paulo ;170;3;3;2;R$ 680.000
Rua Morishigue Akagui ; Vila Progredior, São Paulo ;700;4;8;5;R$ 7.800.000
Rua Miranda Guerra ; Jardim Petrópolis, São Paulo ;255;3;3;5;R$ 1.400.000
Rua General Sena Vasconcelos ; Jardim Guedala, São Paulo ;521;4;7;4;R$ 3.750.000
Jardim Europa, São Paulo ; SP;800;4;6;8;R$ 23.600.000
Boaçava, São Paulo ; SP;433;4;4;10;R$ 6.000.000
Rua Antônio Mariani, 0 ; Instituto de Previdência, São Paulo ;100;3;4;3;"R$ 6.500
                      /Mês"
Jardim Ester, São Paulo ; SP;125;3;1;3;R$ 599.000
Interlagos, São Paulo ; SP;250;3;3;4;R$ 1.200.000
Rua Capital Federal ; Sumaré, São Paulo ;646;5;4;3;R$ 2.640.000
Jardim Guedala, São Paulo ; SP;422;4;8;6;"R$ 20.000
                      /Mês"
Jardim Guedala, São Paulo ; SP;918;5;3;16;R$ 9.000.000
Jardim América, São Paulo ; SP;480;5;3;3;R$ 8.200.000
Jardim Leonor, São Paulo ; SP;850;4;6;6;R$ 5.990.000
Cidade Jardim, São Paulo ; SP;410;2;2;4;R$ 3.000.000
Jardim Paulista, São Paulo ; SP;935;5;6;4;R$ 12.000.000
Alto de Pinheiros, São Paulo ; SP;559;4;6;4;R$ 6.100.000
Rua Capital Federal ; Sumaré, São Paulo ;646;5;4;3;R$ 2.640.000
Jardim Guedala, São Paulo ; SP;422;4;8;6;"R$ 20.000
                      /Mês"
Jardim Guedala, São Paulo ; SP;918;5;3;16;R$ 9.000.000
Jardim América, São Paulo ; SP;480;5;3;3;R$ 8.200.000
Jardim Leonor, São Paulo ; SP;850;4;6;6;R$ 5.990.000
Cidade Jardim, São Paulo ; SP;410;2;2;4;R$ 3.000.000
Jardim Paulista, São Paulo ; SP;935;5;6;4;R$ 12.000.000
Alto de Pinheiros, São Paulo ; SP;559;4;6;4;R$ 6.100.000
Rua Rodrigo Vieira ; Jardim Vila Mariana, São Paulo ;235;4;4;2;R$ 1.700.000
Instituto de Previdência, São Paulo ; SP;450;5;5;3;R$ 1.355.010
Caxingui, São Paulo ; SP;800;4;4;8;"R$ 20.000
                      /Mês"
Rua Catuicara ; Jardim Novo Mundo, São Paulo ;220;4;5;3;R$ 2.700.000
Rua Grécia ; Jardim Europa, São Paulo ;265;5;6;4;R$ 4.800.000
Rua General Fonseca Teles ; Jardim Paulista, São Paulo ;420;3;7;3;R$ 8.700.000
Rua Dom Tomás Costa e Lima ; Vila Tramontano, São Paulo ;600;3;6;8;R$ 4.900.000
Rua Adalívia de Toledo ; Paineiras do Morumbi, São Paulo ;500;4;4;5;R$ 2.500.000
Paineiras do Morumbi, São Paulo ; SP;815;4;3;4;R$ 3.000.000
Rua Margarida Galvão, 00 ; Paineiras do Morumbi, São Paulo ;580;3;4;6;R$ 4.100.000
Vila Campo Grande, São Paulo ; SP;229;2;3;1;R$ 420.000
Jardim Ana Maria, São Paulo ; SP;491;4;5;8;R$ 4.600.000
Rua Thereza Masironi Gonfiantini, 244 ; Vila Nova Alba, São Paulo ;147;3;3;2;R$ 500.000
Vila Nova Caledonia, São Paulo ; SP;300;4;4;4;R$ 1.600.000
Rua Maracaibo ; Jardim Everest, São Paulo ;600;3;7;6;R$ 4.950.000
Rua Barão do Bananal ; Vila Pompéia, São Paulo ;106;3;2;2;R$ 920.000
Rua Artur de Souza Marques ; Vila Tramontano, São Paulo ;1000;4;5;6;"R$ 25.000
                      /Mês"
Travessa Doutor Ezequiel Antunes de Oliveira ; Vila Nova Conceição, São Paulo ;170;3;4;3;R$ 2.690.000
Vila Madalena, São Paulo ; SP;330;3;3;2;R$ 5.800.000
Jardim Paulistano, São Paulo ; SP;748;5;6;6;"R$ 43.000
                      /Mês"
Pacaembu, São Paulo ; SP;1171;5;7;10;R$ 16.000.000
Campo Belo, São Paulo ; SP;380;3;4;5;R$ 2.800.000
Rua Abegoaria ; Pinheiros, São Paulo ;686;4;6;6;R$ 5.800.000
Rua Pedro Osório Filho ; Vila Nova Cachoeirinha, São Paulo ;180;3;3;2;R$ 650.000
Jardim Trussardi, São Paulo ; SP;240;3;4;4;R$ 3.000.000
Alameda dos Guatás ; Saúde, São Paulo ;90;2;4;2;R$ 750.000
Pacaembu, São Paulo ; SP;520;6;6;5;R$ 2.500.000
Rua Conde de Irajá, 208 ; Vila Mariana, São Paulo ;369;3;1;3;R$ 1.950.000
Rua Professor João Marinho ; Vila Mariana, São Paulo ;165;3;4;2;R$ 1.490.000
Rua Doutor José Maria Whitaker, 0 ; Vila Sônia, São Paulo ;259;3;3;2;R$ 1.500.000
Rua Ulisses Cruz, 106 ; Tatuapé, São Paulo ;117;2;1;1;R$ 495.000
Rua Acruás, 188 ; Vila Congonhas, São Paulo ;158;2;1;2;R$ 1.200.000
Avenida Professor Frederico Herman Júnior ; Alto de Pinheiros, São Paulo ;347;5;5;5;R$ 3.500.000
Rua Vicente Biondo, 216 ; Vila Ester (Zona Norte), São Paulo ;226;3;1;4;R$ 670.000
Rua Caetano José Batista, 202 ; Jardim das Acácias, São Paulo ;150;3;1;2;R$ 691.000
Rua Xavier da Veiga, 109 ; Santana, São Paulo ;300;4;2;4;R$ 1.596.000
Rua Professor Oliveira Fausto, 260 ; Alto da Mooca, São Paulo ;360;4;1;4;R$ 1.600.000
Rua Japuanga, 265 ; Vila Ida, São Paulo ;400;3;1;5;R$ 4.043.000
Rua Simpatia, 81 ; Jardim das Bandeiras, São Paulo ;250;2;1;6;R$ 2.000.000
Rua Baturité, 38 ; Aclimação, São Paulo ;208;3;1;3;R$ 1.383.000
Rua Oscar Caravelas, 60 ; Sumarezinho, São Paulo ;324;6;2;4;R$ 1.800.000
Rua Laurindo de Brito, 468 ; Lapa, São Paulo ;260;3;2;4;R$ 1.200.000
Rua Timbó, 130 ; Mooca, São Paulo ;170;3;1;2;R$ 1.000.000
Rua Frei Juan Auli, 90 ; Jardim Patente, São Paulo ;150;2;3;5;R$ 455.000
Avenida Piassanguaba, 1009 ; Planalto Paulista, São Paulo ;182;3;1;2;R$ 980.000
Rua Boquim ; Vila Ida, São Paulo ;235;3;3;5;R$ 2.500.000
Rua Gil Fernandes, 366 ; Bosque da Saúde, São Paulo ;388;3;4;4;R$ 1.700.000
Morumbi, São Paulo ; SP;350;4;5;4;"R$ 14.000
                      /Mês"
Rua Gregório Paes de Almeida ; Vila Madalena, São Paulo ;400;4;5;6;R$ 2.490.000
Brooklin Paulista, São Paulo ; SP;420;4;4;3;R$ 3.000.000
Rua Lourenço Castanho ; Vila Nova Conceição, São Paulo ;177;3;4;3;R$ 2.850.000
Rua Prestes João ; Jardim Luzitânia, São Paulo ;550;2;5;5;R$ 7.000.000
Rua Martins Bonilha, 21 ; Alto da Mooca, São Paulo ;175;6;3;2;R$ 1.300.000
Rua Manuel Navarro ; Jardim Guedala, São Paulo ;595;5;7;5;R$ 5.500.000
Rua Antônio de Gouveia Giudice, 1585 ; Alto de Pinheiros, São Paulo ;483;5;1;4;R$ 5.000.000
Rua Honduras ; Jardim Paulista, São Paulo ;500;4;6;8;R$ 7.000.000
Cidade Jardim, São Paulo ; SP;450;3;2;4;R$ 3.000.000
Rua Paris ; Sumaré, São Paulo ;150;3;3;2;R$ 1.200.000
Jardim América, São Paulo ; SP;600;3;5;5;"R$ 12.000
                      /Mês"
Jardim Paulista, São Paulo ; SP;220;3;5;2;R$ 4.950.000
Rua Pedro Mainente, 108 ; Parque dos Príncipes, São Paulo ;173;3;2;4;R$ 750.000
Alto de Pinheiros, São Paulo ; SP;340;4;4;4;R$ 4.500.000
Jardim Paulistano, São Paulo ; SP;700;4;6;2;"R$ 30.000
                      /Mês"
Rua Capital Federal, 799 ; Sumaré, São Paulo ;230;4;2;1;R$ 1.500.000
Boaçava, São Paulo ; SP;422;5;8;6;R$ 4.500.000
Rua Engenheiro Pedro Garcin, 190 ; Vila Antônio, São Paulo ;110;2;1;2;R$ 480.000
Boaçava, São Paulo ; SP;327;5;4;4;R$ 3.000.000
Rua Mário Guastini ; Pinheiros, São Paulo ;700;5;7;5;R$ 9.500.000
Rua Domingos Lopes ; Campo Belo, São Paulo ;145;3;3;2;R$ 900.000
Rua Jardim Hollywood ; Santana, São Paulo ;250;4;4;5;R$ 1.750.000
Rua Ática ; Jardim Brasil (Zona Sul), São Paulo ;174;3;4;1;R$ 599.000
Rua Ajurapéia, 65 ; Vila Madalena, São Paulo ;210;3;1;2;R$ 1.050.000
Jardim Leonor, São Paulo ; SP;491;4;8;4;R$ 3.100.000
Avenida Iraí ; Indianópolis, São Paulo ;420;4;7;4;R$ 1.800.000
Rua Nova Orleans ; Brooklin Paulista, São Paulo ;150;2;3;4;R$ 1.590.000
Rua Maria Teresa Assunção ; Vila São Geraldo, São Paulo ;160;3;3;2;R$ 636.000
Rua Vicente Romano ; Parque da Mooca, São Paulo ;341;4;3;4;R$ 2.300.000
Rua Manuel Galvão ; Mooca, São Paulo ;106;3;3;2;R$ 450.000
Jardim América, São Paulo ; SP;815;4;6;4;R$ 25.500.000
Jardim Guedala, São Paulo ; SP;560;4;6;3;R$ 6.800.000
Rua Stefan Marek Neuding, 37738888 ; Jardim Sílvia (Zona Oeste), São Paulo ;1643;4;8;10;R$ 4.495.000
Rua Alemanha ; Jardim Europa, São Paulo ;600;4;4;7;R$ 13.500.000
Rua Kalil Filho, 157 ; Indianópolis, São Paulo ;225;3;2;2;R$ 1.850.000
Rua Pau;Brasil ;296;3;2;5;R$ 2.750.000
Consolação, São Paulo ; SP;340;9;5;5;"R$ 21.000
                      /Mês"
Vila Cordeiro, São Paulo ; SP;200;4;6;4;R$ 3.600.000
Jardim Monte Kemel, São Paulo ; SP;158;2;1;1;R$ 480.000
Rua David Pimentel ; Fazenda Morumbi, São Paulo ;900;4;8;9;"R$ 35.000
                      /Mês"
Avenida Doutor Cardoso de Melo ; Vila Olímpia, São Paulo ;200;2;3;2;R$ 2.900.000
Rua Abagiba, 495 ; Saúde, São Paulo ;180;2;1;2;R$ 745.000
Boaçava, São Paulo ; SP;488;5;7;6;R$ 4.250.000
Jardim dos Estados, São Paulo ; SP;500;4;5;5;R$ 4.900.000
Jardim América, São Paulo ; SP;1141;5;5;10;"R$ 100.000
                      /Mês"
Rua Benedito Chaves ; Jardim Paulistano, São Paulo ;433;5;4;8;R$ 6.500.000
Jardim Leonor, São Paulo ; SP;560;4;5;4;R$ 4.750.000
Rua Leopoldo Fróes ; Alto da Mooca, São Paulo ;170;3;3;5;R$ 950.000
Rua Colatino Marques, 214 ; Jardim Paulista, São Paulo ;548;4;6;6;R$ 6.200.000
Rua General Euclides Figueiredo ; Morumbi, São Paulo ;455;4;5;6;R$ 1.580.000
Rua França ; Jardim Europa, São Paulo ;952;3;7;10;R$ 22.000.000
Rua Iraci ; Jardim Paulistano, São Paulo ;250;3;3;3;R$ 2.100.000
Rua General Euclides Figueiredo ; Morumbi, São Paulo ;455;4;5;6;R$ 1.580.000
Rua França ; Jardim Europa, São Paulo ;952;3;7;10;R$ 22.000.000
Rua Iraci ; Jardim Paulistano, São Paulo ;250;3;3;3;R$ 2.100.000
Retiro Morumbi, São Paulo ; SP;1356;5;12;26;"R$ 15.000
                      /Mês"
Rua Comendador Bichara Moherdauí ; Jardim Leonor, São Paulo ;798;5;7;8;R$ 4.950.000
Alto de Pinheiros, São Paulo ; SP;380;4;5;5;R$ 5.200.000
Largo Mestre de Aviz ; Jardim Luzitânia, São Paulo ;454;4;6;4;R$ 3.850.000
Rua Macejana, 39 ; Indianópolis, São Paulo ;89;3;1;2;R$ 638.500
Vila São Silvestre, São Paulo ; SP;168;3;1;4;R$ 900.000
Retiro Morumbi, São Paulo ; SP;2100;7;14;12;R$ 19.800.000
Rua Escócia ; Pinheiros, São Paulo ;601;4;5;4;R$ 8.500.000
Morumbi, São Paulo ; SP;713;5;7;8;R$ 4.000.000
Rua Elias Cutait ; Cidade Jardim, São Paulo ;280;3;3;4;"R$ 9.000
                      /Mês"
Rua Monsanto, 62 ; Pinheiros, São Paulo ;420;4;4;6;R$ 2.900.000
Vila Tramontano, São Paulo ; SP;1650;6;16;42;"R$ 100.000
                      /Mês"
Rua João Bizarro da Nave ; Vila Diva (Zona Leste), São Paulo ;178;3;1;3;R$ 450.000
Vila Ida, São Paulo ; SP;428;7;6;4;R$ 3.300.000
Jardim América, São Paulo ; SP;170;2;3;2;R$ 2.300.000
Rua Gustavo Teixeira, 55 ; Pacaembu, São Paulo ;350;3;2;4;R$ 2.700.000
Chácara Tatuapé, São Paulo ; SP;150;3;2;2;R$ 640.000
Boaçava, São Paulo ; SP;540;4;5;6;R$ 5.000.000
Rua Sanharó ; Jardim Guedala, São Paulo ;420;3;6;6;R$ 3.500.000
Rua das Fiandeiras, 157 ; Vila Olímpia, São Paulo ;141;2;2;1;R$ 1.500.000
Alto de Pinheiros, São Paulo ; SP;490;4;6;5;R$ 3.800.000
Jardim Guedala, São Paulo ; SP;725;3;8;10;"R$ 25.000
                      /Mês"
Vila Ida, São Paulo ; SP;380;4;5;4;R$ 3.650.000
Alto de Pinheiros, São Paulo ; SP;510;4;3;5;"R$ 10.000
                      /Mês"
Rua Duartina ; Sumaré, São Paulo ;402;4;4;4;R$ 3.800.000
Rua Manoel Jacinto do Rego ; Vila Romana, São Paulo ;191;3;3;2;R$ 1.150.000
Jardim Leonor, São Paulo ; SP;621;4;4;15;R$ 6.900.000
Vila Ida, São Paulo ; SP;462;5;6;6;R$ 5.320.000
Rua Tefé ; Sumaré, São Paulo ;452;3;4;2;R$ 2.300.000
Rua Antônio Splendore ; Interlagos, São Paulo ;280;3;5;8;R$ 2.050.000
Jardim Europa, São Paulo ; SP;878;4;6;8;R$ 15.499.000
Rua Argentina ; Jardim América, São Paulo ;880;3;5;10;R$ 20.000.000
Rua Vieira de Morais ; Campo Belo, São Paulo ;116;3;2;1;R$ 890.000
Rua Costa Aguiar, 2434 ; Ipiranga, São Paulo ;219;3;1;1;R$ 1.172.000
Avenida das Corujas, 214 ; Sumarezinho, São Paulo ;110;3;1;4;R$ 2.021.300
Planalto Paulista, São Paulo ; SP;250;4;6;4;R$ 1.915.000
Vila Ida, São Paulo ; SP;300;4;7;3;"R$ 20.000
                      /Mês"
Rua Ulisses Esteves Costa, 39 ; Santana, São Paulo ;305;3;3;2;R$ 1.700.000
Rua Humberto I, 1046 ; Vila Mariana, São Paulo ;300;3;3;5;R$ 1.800.000
Rua Irmão Gonçalo, 31 ; Jardim das Bandeiras, São Paulo ;810;6;5;8;R$ 5.700.000
Rua Berlioz ; Alto de Pinheiros, São Paulo ;400;4;5;4;"R$ 40.000
                      /Mês"
Jardim Morumbi, São Paulo ; SP;450;4;7;7;R$ 1.950.000
Lar São Paulo, São Paulo ; SP;586;4;4;5;R$ 1.680.000
Rua Lauro Freire, 42 ; Jardim Celeste, São Paulo ;120;3;1;2;R$ 638.500
Vila Nova Conceição, São Paulo ; SP;170;3;5;3;R$ 2.300.000
Jardim Paulista, São Paulo ; SP;231;2;2;2;R$ 4.570.000
Jardim América, São Paulo ; SP;650;5;6;4;R$ 6.000.000
Morumbi, São Paulo ; SP;793;6;6;7;"R$ 16.000
                      /Mês"
Rua Lessing ; Chácara Belenzinho, São Paulo ;90;3;2;1;R$ 452.000
Jardim América, São Paulo ; SP;440;5;4;5;"R$ 15.000
                      /Mês"
Vila Tramontano, São Paulo ; SP;465;4;5;4;R$ 3.500.000
Rua Elias Cutait ; Cidade Jardim, São Paulo ;280;3;1;3;R$ 3.500.000
Rua Damiana da Cunha, 70 ; Santa Teresinha, São Paulo ;382;3;1;5;R$ 1.908.000
Rua Cordisburgo ; Jardim Leonor, São Paulo ;550;4;1;6;R$ 3.310.000
Rua Anatólia ; Boaçava, São Paulo ;650;3;5;2;R$ 8.000.000
Rua Demóstenes ; Campo Belo, São Paulo ;253;3;2;4;R$ 1.950.000
Consolação, São Paulo ; SP;500;6;5;10;"R$ 20.000
                      /Mês"
Avenida Ireré ; Planalto Paulista, São Paulo ;337;3;4;10;R$ 2.150.000
Avenida Itacira ; Planalto Paulista, São Paulo ;361;4;6;4;R$ 2.300.000
Avenida Diógenes Ribeiro de Lima ; Alto de Pinheiros, São Paulo ;190;3;3;5;"R$ 10.000
                      /Mês"
