Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Belmiro Schunk Zenha;Vila Cordeiro;692.000;2;127;127;2;2;1;1;2;2
Rua Embaixador Raul Garcia;Bosque da Saúde;1.100.000;24;111;111;3;3;1;1;2;2
Rua Realengo;Vila Madalena;960.000;185;127;127;3;3;2;2;2;2
Rua Sebastião Meira Barros;Parque Fernanda;430.000;348;138;138;3;3;2;2;4;4
Rua Sócrates Abrahão;Parque Munhoz;768.000;16;145;145;3;3;3;3;2;2
Rua Ibitinga;Vila Bertioga;1.650.000;706;225;225;3;3;5;5;3;3
Rua Lázaro Sousa Martins;Água Branca;1.300.000;55;195;195;3;3;3;3;3;3
Rua Manaus;Vila Bertioga;1.600.000;48;450;450;3;3;2;2;4;4
Rua Jequitai;Indianópolis;1.350.000;56;274;274;4;4;1;1;2;2
Rua Marques de Carvalho;Cidade Mãe do Céu;850.000;5;100;100;3;3;1;1;4;4
Rua Alabastro;Aclimação;960.000;151;129;129;3;3;2;2;3;3
Rua Dom Macário;Saúde;600.000;135;110;110;2;2;3;3;2;2
Rua Aurélia;Vila Romana;790.000;1436;117;117;4;4;1;1;2;2
Rua Umburanas;Alto de Pinheiros;4.200.000;417;450;450;4;4;7;7;2;2
Rua Los Ângeles;Cidade Monções;1.300.000;121;290;290;4;4;3;3;2;2
Rua Alaor Bronzone;Jardim Casablanca;430.000;0;130;130;3;3;2;2;2;2
Viaduto Santa Generosa;Paraíso;4.250.000;195;401;401;4;4;1;1;4;4
Rua Santa Cristina;Jardim Paulistano;3.700.000;329;210;210;2;2;1;1;1;1
Rua Eduardo;Vila Albertina;2.700.000;308;359;359;3;3;5;5;3;3
Rua dos Escultores;Boaçava;3.000.000;12;200;200;3;3;3;3;2;2
Viela Um;Jardim Peri;3.200.000;1059;510;510;5;5;3;3;7;7
Avenida Olavo Egídio de Souza Aranha;Parque Císper;450.000;1157;180;180;2;2;3;3;8;8
Avenida Pacaembu;Pacaembu;4.000.000;100;405;405;4;4;3;3;4;4
Rua Francisco Assis Garrido;Jardim São Luís;730.000;130;170;170;4;4;2;2;6;6
Rua Francisco Teles Dourado;Jardim Prudência;1.395.000;713;293;293;4;4;4;4;4;4
Rua Doutor Fausto de Almeida Prado Penteado;Jardim Sílvia (Zona Oeste);4.500.000;302;1643;1643;4;4;5;5;10;10
Rua Breves;Chácara Monte Alegre;2.100.000;602;319;319;4;4;4;4;4;4
Travessa Antônio Augusto Monteiro de Barros Neto;Real Parque;600.000;60;106;106;2;2;1;1;2;2
Rua Jandiro Joaquim Pereira;Jardim Leonor;1.400.000;456;242;242;3;3;3;3;4;4
Rua Irmã Carolina;Belenzinho;1.395.000;544;255;255;3;3;2;2;7;7
Avenida Manoel dos Reis Araújo;Jardim Marajoara;2.450.000;50;450;450;3;3;4;4;6;6
Rua Macau;Jardim Luzitânia;4.900.000;50;361;361;4;4;6;6;5;5
Rua Macarani;Bosque da Saúde;750.000;79;176;176;2;2;3;3;1;1
Rua Doutor Queirós Guimarães;Jardim Guedala;4.300.000;216;500;500;4;4;4;4;4;4
Rua Bela Flor;Vila Mariana;1.450.000;233;235;235;3;3;4;4;3;3
Rua Cônego Luís Gonzaga Biazi;Carandiru;990.000;144;382;382;2;2;6;6;6;6
Rua Magalhães de Araújo;Jardim Guedala;3.500.000;84;650;650;4;4;5;5;4;4
Rua Wanderley;Perdizes;2.300.000;611;248;248;4;4;4;4;4;4
Rua Armando Brussolo;Vila Romana;990.000;192;194;194;4;4;5;5;2;2
Avenida Diógenes Ribeiro de Lima;Alto de Pinheiros;1.950.000;1658;463;463;3;3;1;1;12;12
Avenida Alfredo Zunkeller;Parque Mandaqui;1.300.000;156;145;145;3;3;3;3;6;6
Travessa Alberto Moravia;Jardim Tremembé;350.000;18;120;120;2;2;2;2;4;4
Rua Santo Irineu;Bosque da Saúde;1.400.000;3100;205;205;4;4;5;5;3;3
Rua Carlo Fontana;Jardim Tietê;430.000;106;200;200;6;6;7;7;2;2
Rua Peaçaba;Vila Monumento;650.000;242;165;165;4;4;5;5;2;2
Rua Theo Dutra;Jardim Colombo;1.650.000;85;280;280;4;4;6;6;4;4
Avenida Amarilis;Cidade Jardim;5.900.000;0;1000;1000;4;4;5;5;8;8
Rua Oliveira Dias;Jardim Paulista;4.800.000;366;530;530;4;4;5;5;4;4
Rua Luís Botta;Cidade São Mateus;147.288;1137;61;61;1;1;1;1;1;1
Rua Aparecida;Canindé;650.000;197;105;105;2;2;3;3;2;2
Rua Doutor Nelson Cayres de Britto;Vila Tiradentes;700.000;67;210;210;3;3;2;2;3;3
Rua Caetano de Campos;Vila Moreira;1.200.000;0;140;140;3;3;2;2;2;2
Praça Marquês de Itanhaém;Vila Madalena;2.150.000;37;240;240;4;4;4;4;6;6
Rua Ernesto Nazaré;Alto de Pinheiros;4.500.000;100;500;500;4;4;6;6;6;6
Rua José Vicente;Tremembé;3.600.000;63;500;500;4;4;7;7;9;9
Rua Marechal Renato Paquet;Jardim Marajoara;1.400.000;463;197;197;4;4;4;4;4;4
Rua Francisco Pessoa;Vila Andrade;1.200.000;800;168;168;3;3;4;4;3;3
Rua Hans Staden;Butantã;2.500.000;94;420;420;4;4;3;3;3;3
Avenida Nova Cantareira;Tucuruvi;4.900.000;4337;2160;2160;3;3;4;4;10;10
Rua Camilo Batista;Vila Amélia;690.000;19;273;273;3;3;2;2;2;2
Rua Frederico Von Martius;Vila Monumento;1.280.000;242;145;145;3;3;4;4;3;3
Rua Félix Pola;Cambuci;950.000;0;150;150;3;3;2;2;2;2
Alameda dos Anapurus;Indianópolis;4.000.000;500;400;400;5;5;6;6;5;5
Rua Geórgia;Brooklin;1.800.000;30;160;160;3;3;4;4;4;4
Rua Doutor Carmino Capricchio;Vila Tiradentes;585.000;172;130;130;3;3;1;1;4;4
Rua Juréia;Chácara Inglesa;690.000;843;190;190;3;3;2;2;2;2
